"Course Title","Course URL","Duration","Rating"
"IoT Foundation: Predictive Maintenance","https://explore.skillbuilder.aws/learn/course/external/view/elearning/391/iot-foundation-predictive-maintenance","2h 00m","5.0"
"Amazon ElastiCache Service Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/389/amazon-elasticache-service-primer","20m 00s","5.0"
"Demystifying AI/ML/DL","https://explore.skillbuilder.aws/learn/course/external/view/elearning/385/demystifying-aimldl","45m 00s","5.0"
"Introduction to Amazon Kinesis Data Analytics for Java Applications","https://explore.skillbuilder.aws/learn/course/external/view/elearning/384/introduction-to-amazon-kinesis-data-analytics-for-java-applications","15m 00s","5.0"
"Amazon Neptune Service Introduction","https://explore.skillbuilder.aws/learn/course/external/view/elearning/379/amazon-neptune-service-introduction","05m 00s","5.0"
"AWS Managed Services (AMS): Incident Management Overview","https://explore.skillbuilder.aws/learn/course/external/view/elearning/376/aws-managed-services-ams-incident-management-overview","10h 00m","5.0"
"PostgreSQL Fundamentals","https://explore.skillbuilder.aws/learn/course/external/view/elearning/372/postgresql-fundamentals","20m 00s","5.0"
"Amazon RDS Service Introduction","https://explore.skillbuilder.aws/learn/course/external/view/elearning/370/amazon-rds-service-introduction","05m 00s","5.0"
"Amazon DocumentDB Service Introduction","https://explore.skillbuilder.aws/learn/course/external/view/elearning/366/amazon-documentdb-service-introduction","05m 00s","4.0"
"AWS Managed Services (AMS): Security Management Overview","https://explore.skillbuilder.aws/learn/course/external/view/elearning/363/aws-managed-services-ams-security-management-overview","4h 30m","5.0"
"Introduction to Decoupled Applications","https://explore.skillbuilder.aws/learn/course/external/view/elearning/362/introduction-to-decoupled-applications","20m 00s","4.0"
"AWS SaaS Factory Architecture Track: SaaS Identity and Onboarding","https://explore.skillbuilder.aws/learn/course/external/view/elearning/361/aws-saas-factory-architecture-track-saas-identity-and-onboarding","1h 00m","5.0"
"Introduction to Amazon Route 53 Resolver","https://explore.skillbuilder.aws/learn/course/external/view/elearning/355/introduction-to-amazon-route-53-resolver","1h 10m","5.0"
"Amazon Redshift Service Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/354/amazon-redshift-service-primer","20m 00s","5.0"
"Machine Learning for Business Challenges","https://explore.skillbuilder.aws/learn/course/external/view/elearning/349/machine-learning-for-business-challenges","1h 00m","5.0"
