"Course Title","Course URL","Cost","Duration","Rating"
"Using Amazon GameLift FleetIQ for Game Servers","https://explore.skillbuilder.aws/learn/course/external/view/elearning/435/using-amazon-gamelift-fleetiq-for-game-servers","Free","1h 30m","5.0"
"SaaS Business Transformation","https://explore.skillbuilder.aws/learn/course/external/view/elearning/434/saas-business-transformation","Free","1h 00m","5.0"
"AWS Elemental Live - Conductor","https://explore.skillbuilder.aws/learn/course/external/view/elearning/431/aws-elemental-live-conductor","Free","2h 00m","5.0"
"Making the App You Want in Amazon Honeycode","https://explore.skillbuilder.aws/learn/course/external/view/elearning/430/making-the-app-you-want-in-amazon-honeycode","Free","45m 00s","5.0"
"AWS Managed Services (AMS): Account Modes","https://explore.skillbuilder.aws/learn/course/external/view/elearning/425/aws-managed-services-ams-account-modes","Free","4h 30m","5.0"
"Game Server Hosting on AWS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/422/game-server-hosting-on-aws","Free","1h 15m","5.0"
"Amazon GameLift Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/421/amazon-gamelift-primer","Free","2h 00m","4.0"
"Harnessing Data in Amazon Honeycode","https://explore.skillbuilder.aws/learn/course/external/view/elearning/420/harnessing-data-in-amazon-honeycode","Free","45m 00s","5.0"
"Internet of Things Foundation Series","https://explore.skillbuilder.aws/learn/course/external/view/elearning/402/internet-of-things-foundation-series","Free","9h 30m","4.0"
"Performing Input Stitching and Clipping","https://explore.skillbuilder.aws/learn/course/external/view/elearning/397/performing-input-stitching-and-clipping","Free","10m 00s","3.0"
"Creating Adaptive Bitrate (ABR) Outputs","https://explore.skillbuilder.aws/learn/course/external/view/elearning/395/creating-adaptive-bitrate-abr-outputs","Free","20m 00s","4.0"
"Building a Live Video Channel with MediaLive and MediaPackage","https://explore.skillbuilder.aws/learn/course/external/view/elearning/390/building-a-live-video-channel-with-medialive-and-mediapackage","Free","20m 00s","5.0"
"Types of Machine Learning Solutions","https://explore.skillbuilder.aws/learn/course/external/view/elearning/388/types-of-machine-learning-solutions","Free","15m 00s","5.0"
"Working with Image Insertion","https://explore.skillbuilder.aws/learn/course/external/view/elearning/383/working-with-image-insertion","Free","10m 00s","4.0"
"Setting Up and Configuring AWS Elemental MediaConvert","https://explore.skillbuilder.aws/learn/course/external/view/elearning/382/setting-up-and-configuring-aws-elemental-mediaconvert","Free","10m 00s","4.0"
"Digital Rights Management and the SPEKE Protocol in Video Workflows","https://explore.skillbuilder.aws/learn/course/external/view/elearning/381/digital-rights-management-and-the-speke-protocol-in-video-workflows","Free","45m 00s","5.0"
"IoT Microcontrollers: Onboarding a Raspberry Pi Using AWS Greengrass","https://explore.skillbuilder.aws/learn/course/external/view/elearning/378/iot-microcontrollers-onboarding-a-raspberry-pi-using-aws-greengrass","Free","1h 00m","5.0"
"Mobile Development in IoT","https://explore.skillbuilder.aws/learn/course/external/view/elearning/374/mobile-development-in-iot","Free","2h 00m","4.0"
"Machine Learning Exam Basics","https://explore.skillbuilder.aws/learn/course/external/view/elearning/373/machine-learning-exam-basics","Free","2h 00m","5.0"
"Process Model: CRISP-DM on the AWS Stack","https://explore.skillbuilder.aws/learn/course/external/view/elearning/369/process-model-crisp-dm-on-the-aws-stack","Free","50m 00s","5.0"
"IoT Foundation: Command and Control","https://explore.skillbuilder.aws/learn/course/external/view/elearning/368/iot-foundation-command-and-control","Free","2h 00m","4.0"
"The Elements of Data Science","https://explore.skillbuilder.aws/learn/course/external/view/elearning/360/the-elements-of-data-science","Free","8h 00m","5.0"
"Protect Your Web-facing Workloads with AWS Security Services","https://explore.skillbuilder.aws/learn/course/external/view/elearning/359/protect-your-web-facing-workloads-with-aws-security-services","Free","40m 00s","5.0"
"Communicating with Chat Bots","https://explore.skillbuilder.aws/learn/course/external/view/elearning/357/communicating-with-chat-bots","Free","30m 00s","5.0"
"Math for Machine Learning","https://explore.skillbuilder.aws/learn/course/external/view/elearning/356/math-for-machine-learning","Free","8h 00m","5.0"
"Mapping a Few Core Oracle DB Concepts to Amazon RDS/Aurora PostgreSQL Concepts","https://explore.skillbuilder.aws/learn/course/external/view/elearning/350/mapping-a-few-core-oracle-db-concepts-to-amazon-rdsaurora-postgresql-concepts","Free","45m 00s","5.0"
"IoT Foundation: Introduction to Fleet Management","https://explore.skillbuilder.aws/learn/course/external/view/elearning/344/iot-foundation-introduction-to-fleet-management","Free","3h 00m","4.0"
"AWS Managed Services (AMS): Logging and Monitoring","https://explore.skillbuilder.aws/learn/course/external/view/elearning/342/aws-managed-services-ams-logging-and-monitoring","Free","10h 00m","5.0"
"Content Syndication and Sharing with AWS Elemental MediaConnect","https://explore.skillbuilder.aws/learn/course/external/view/elearning/338/content-syndication-and-sharing-with-aws-elemental-mediaconnect","Free","20m 00s","5.0"
"Creating Multi-track Captioned Outputs","https://explore.skillbuilder.aws/learn/course/external/view/elearning/330/creating-multi-track-captioned-outputs","Free","20m 00s",""
"IoT Edge Computing: Amazon FreeRTOS Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/322/iot-edge-computing-amazon-freertos-primer","Free","3h 00m","5.0"
"Modernize a monolith to ECS and Fargate using Application Discovery","https://explore.skillbuilder.aws/learn/course/external/view/elearning/314/modernize-a-monolith-to-ecs-and-fargate-using-application-discovery","Free","1h 45m","5.0"
"AWS Managed Services (AMS): Provisioning","https://explore.skillbuilder.aws/learn/course/external/view/elearning/299/aws-managed-services-ams-provisioning","Free","30m 00s","5.0"
"Lessons Learned: Migrating Oracle to Amazon Aurora","https://explore.skillbuilder.aws/learn/course/external/view/elearning/279/lessons-learned-migrating-oracle-to-amazon-aurora","Free","30m 00s","5.0"
"Internet of Things (IoT) Microcontrollers Series","https://explore.skillbuilder.aws/learn/course/external/view/elearning/269/internet-of-things-iot-microcontrollers-series","Free","9h 30m","5.0"
"IoT Microcontrollers: Onboarding an ESP32 with Amazon FreeRTOS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/266/iot-microcontrollers-onboarding-an-esp32-with-amazon-freertos","Free","1h 30m","5.0"
"Machine Learning Terminology and Process","https://explore.skillbuilder.aws/learn/course/external/view/elearning/260/machine-learning-terminology-and-process","Free","1h 00m","5.0"
"Getting Started with Amazon Simple Storage Service (Amazon S3)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/161/getting-started-with-amazon-simple-storage-service-amazon-s3","Free","1h 00m","5.0"
"AWS Snowcone Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/158/aws-snowcone-primer","Free","1h 00m","5.0"
"Build and Deploy APIs with a Serverless CI/CD","https://explore.skillbuilder.aws/learn/course/external/view/elearning/148/build-and-deploy-apis-with-a-serverless-cicd","Free","50m 00s","4.0"
"AWS Snowcone Planning and Logistics","https://explore.skillbuilder.aws/learn/course/external/view/elearning/143/aws-snowcone-planning-and-logistics","Free","1h 30m","5.0"
"Why Analytics for Games","https://explore.skillbuilder.aws/learn/course/external/view/elearning/133/why-analytics-for-games","Free","1h 00m","5.0"
"AWS Elemental MediaLive Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/126/aws-elemental-medialive-primer","Free","1h 00m","5.0"
"Amazon EventBridge Overview and Integration with SaaS Applications","https://explore.skillbuilder.aws/learn/course/external/view/elearning/119/amazon-eventbridge-overview-and-integration-with-saas-applications","Free","30m 00s","5.0"
"Exam Readiness: AWS Certified Database - Specialty","https://explore.skillbuilder.aws/learn/course/external/view/elearning/116/exam-readiness-aws-certified-database-specialty","Free","3h 30m","5.0"
"Amazon SageMaker: Build an Object Detection Model Using Images Labeled with Ground Truth","https://explore.skillbuilder.aws/learn/course/external/view/elearning/111/amazon-sagemaker-build-an-object-detection-model-using-images-labeled-with-ground-truth","Free","1h 10m","5.0"
"AWS Elemental MediaConvert Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/107/aws-elemental-mediaconvert-primer","Free","1h 00m","5.0"
"Introduction to Containers","https://explore.skillbuilder.aws/learn/course/external/view/elearning/106/introduction-to-containers","Free","15m 00s","5.0"
"AWS DataSync Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/102/aws-datasync-primer","Free","1h 05m","5.0"
"Machine Learning Security","https://explore.skillbuilder.aws/learn/course/external/view/elearning/95/machine-learning-security","Free","2h 00m","5.0"
"Amazon Elastic Container Service (ECS) Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/91/amazon-elastic-container-service-ecs-primer","Free","30m 00s","5.0"
"Amazon FSx for Lustre Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/90/amazon-fsx-for-lustre-primer","Free","1h 40m","5.0"
"AWS Transfer Family Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/88/aws-transfer-family-primer","Free","1h 00m","5.0"
